"timestamp","status","index","total","instance","enforce_time_windows","seed","scenario","algo","message"
"2026-04-23 17:38:46","ok","89","1800","data/data101.vrp","non","46","TABU_tuning_tenure_60","tabu",""
"2026-04-23 17:43:11","ok","90","1800","data/data101.vrp","non","46","TABU_tuning_tenure_70","tabu",""
"2026-04-23 17:43:12","ok","91","1800","data/data101.vrp","non","47","SA_inter_relocate_baseline","sa",""
"2026-04-23 17:43:12","ok","92","1800","data/data101.vrp","non","47","SA_inter_exchange_baseline","sa",""
"2026-04-23 17:43:13","ok","93","1800","data/data101.vrp","non","47","SA_intra_2opt_baseline","sa",""
"2026-04-23 17:47:35","ok","94","1800","data/data101.vrp","non","47","TABU_inter_relocate_baseline","tabu",""
"2026-04-23 17:49:18","ok","95","1800","data/data101.vrp","non","47","TABU_inter_exchange_baseline","tabu",""
"2026-04-23 17:49:31","ok","96","1800","data/data101.vrp","non","47","TABU_intra_2opt_baseline","tabu",""
"2026-04-23 17:49:31","ok","97","1800","data/data101.vrp","non","47","SA_tuning_T1000_C09995","sa",""
"2026-04-23 17:49:31","ok","98","1800","data/data101.vrp","non","47","SA_tuning_T1250_C09993","sa",""
"2026-04-23 17:49:32","ok","99","1800","data/data101.vrp","non","47","SA_tuning_T1250_C09995","sa",""
"2026-04-23 17:49:32","ok","100","1800","data/data101.vrp","non","47","SA_tuning_T1250_C09997","sa",""
"2026-04-23 17:49:33","ok","101","1800","data/data101.vrp","non","47","SA_tuning_T1400_C09995","sa",""
"2026-04-23 17:53:58","ok","102","1800","data/data101.vrp","non","47","TABU_tuning_tenure_40","tabu",""
"2026-04-23 18:43:17","ok","103","1800","data/data101.vrp","non","47","TABU_tuning_tenure_50","tabu",""
"2026-04-23 18:47:39","ok","104","1800","data/data101.vrp","non","47","TABU_tuning_tenure_60","tabu",""
"2026-04-23 18:51:45","ok","105","1800","data/data101.vrp","non","47","TABU_tuning_tenure_70","tabu",""
"2026-04-23 18:51:46","ok","106","1800","data/data101.vrp","non","48","SA_inter_relocate_baseline","sa",""
"2026-04-23 18:51:46","ok","107","1800","data/data101.vrp","non","48","SA_inter_exchange_baseline","sa",""
"2026-04-23 18:51:46","ok","108","1800","data/data101.vrp","non","48","SA_intra_2opt_baseline","sa",""
"2026-04-23 18:56:09","ok","109","1800","data/data101.vrp","non","48","TABU_inter_relocate_baseline","tabu",""
"2026-04-23 18:57:44","ok","110","1800","data/data101.vrp","non","48","TABU_inter_exchange_baseline","tabu",""
"2026-04-23 18:57:56","ok","111","1800","data/data101.vrp","non","48","TABU_intra_2opt_baseline","tabu",""
"2026-04-23 18:57:56","ok","112","1800","data/data101.vrp","non","48","SA_tuning_T1000_C09995","sa",""
"2026-04-23 18:57:57","ok","113","1800","data/data101.vrp","non","48","SA_tuning_T1250_C09993","sa",""
"2026-04-23 18:57:57","ok","114","1800","data/data101.vrp","non","48","SA_tuning_T1250_C09995","sa",""
"2026-04-23 18:57:58","ok","115","1800","data/data101.vrp","non","48","SA_tuning_T1250_C09997","sa",""
"2026-04-23 18:57:58","ok","116","1800","data/data101.vrp","non","48","SA_tuning_T1400_C09995","sa",""
"2026-04-23 19:02:09","ok","117","1800","data/data101.vrp","non","48","TABU_tuning_tenure_40","tabu",""
"2026-04-23 19:06:22","ok","118","1800","data/data101.vrp","non","48","TABU_tuning_tenure_50","tabu",""
"2026-04-23 19:10:32","ok","119","1800","data/data101.vrp","non","48","TABU_tuning_tenure_60","tabu",""
