source_dir,timestamp,instance,algorithm,best_objective,best_distance,time_violation,capacity_violation,vehicle_violation,routes,runtime_ms,solutions_evaluated,penalty_weight,enforce_time_windows,parameters,feasible
resultsSA/Exp32,2026-04-23 15:56:03,data101.vrp,sa,1692.9620578515558,1692.9620578515558,19076.59146531272,0.0,0.0,8,63,30001,1000.0,False,iterations=30000; seed=66571993101; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=2opt; vehicleLimit=2147483647,False
resultsSA/Exp33,2026-04-23 16:02:23,data101.vrp,sa,1026.3244788254738,1026.3244788254738,14286.869920371157,0.0,0.0,8,84,30001,1000.0,False,iterations=30000; seed=66571993101; initialTemp=1000.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp34,2026-04-23 16:02:24,data101.vrp,sa,1159.4419307138437,1159.4419307138437,13482.124677412943,0.0,0.0,8,80,30001,1000.0,False,iterations=30000; seed=66571993101; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp35,2026-04-23 16:02:24,data101.vrp,sa,1034.670888243157,1034.670888243157,15048.457898290291,0.0,0.0,8,80,30001,1000.0,False,iterations=30000; seed=66571993101; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp36,2026-04-23 16:02:25,data101.vrp,sa,1138.7498630676323,1138.7498630676323,12542.791395154858,0.0,0.0,8,81,30001,1000.0,False,iterations=30000; seed=66571993101; initialTemp=1250.0; coolingRate=0.9997; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp37,2026-04-23 16:02:25,data101.vrp,sa,1130.1000878010727,1130.1000878010727,14395.893783233274,0.0,0.0,8,91,30001,1000.0,False,iterations=30000; seed=66571993101; initialTemp=1400.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp38,2026-04-23 16:39:56,data101.vrp,sa,1097.8502953499692,1097.8502953499692,13939.460971616165,0.0,0.0,8,90,30001,1000.0,False,iterations=30000; seed=66571993102; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp39,2026-04-23 16:39:56,data101.vrp,sa,1343.3620177885275,1343.3620177885275,17766.243414358283,0.0,0.0,8,71,30001,1000.0,False,iterations=30000; seed=66571993102; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=exchange; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp4,2026-04-22 17:18:15,data101.vrp,sa,1984.742137897323,1984.742137897323,0.0,0.0,0.0,24,96,30001,1000.0,True,iterations=30000; seed=66571993099; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,True
resultsSA/Exp40,2026-04-23 16:39:57,data101.vrp,sa,1651.1105063610698,1651.1105063610698,20068.79657005979,0.0,0.0,8,60,30001,1000.0,False,iterations=30000; seed=66571993102; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=2opt; vehicleLimit=2147483647,False
resultsSA/Exp41,2026-04-23 16:46:19,data101.vrp,sa,1071.3827933748646,1071.3827933748646,13733.42997130598,0.0,0.0,8,85,30001,1000.0,False,iterations=30000; seed=66571993102; initialTemp=1000.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
